time,vertical_velocity,horizontal_velocity,dist,alt,ang,weight,acc,fuel,NN
1,43,1701.7,179298.3,13705,80,284.84,1.55,120.84,0.7
2,42.73,1700.17,177598.13,13662.27,80,284.69,1.56,120.69,0.71
3,42.46,1698.63,175899.5,13619.82,80,284.53,1.57,120.53,0.71
4,42.18,1697.08,174202.42,13577.63,80,284.37,1.58,120.37,0.71
5,41.91,1695.53,172506.89,13535.72,80,284.21,1.58,120.21,0.71
6,41.64,1693.97,170812.92,13494.08,80,284.05,1.59,120.05,0.72
7,41.37,1692.4,169120.51,13452.71,80,283.89,1.6,119.89,0.72
8,41.1,1690.83,167429.69,13411.61,80,283.73,1.61,119.73,0.72
9,40.83,1689.24,165740.45,13370.78,80,283.57,1.62,119.57,0.73
10,40.56,1687.65,164052.79,13330.23,80,283.41,1.62,119.41,0.73
11,40.29,1686.05,162366.74,13289.94,80,283.25,1.63,119.25,0.73
12,40.02,1684.45,160682.29,13249.92,80,283.08,1.64,119.08,0.74
13,39.74,1682.84,158999.46,13210.18,80,282.92,1.65,118.92,0.74
14,39.47,1681.21,157318.24,13170.7,80,282.75,1.65,118.75,0.74
15,39.2,1679.59,155638.65,13131.5,80,282.59,1.66,118.59,0.74
16,38.93,1677.95,153960.7,13092.57,80,282.42,1.67,118.42,0.75
17,38.66,1676.31,152284.39,13053.9,80,282.26,1.68,118.26,0.75
18,38.39,1674.66,150609.74,13015.51,80,282.09,1.68,118.09,0.75
19,38.12,1673,148936.74,12977.39,80,281.92,1.69,117.92,0.76
20,37.77,1671.35,147265.39,12939.62,77,281.7,2.24,117.7,1
21,37.17,1669.2,145596.19,12902.45,74,281.48,2.24,117.48,1
22,36.47,1667.08,143929.1,12865.97,71,281.25,2.24,117.25,1
23,35.66,1665.01,142264.1,12830.31,68,281.03,2.24,117.03,1
24,34.75,1662.98,140601.12,12795.56,65,280.81,2.24,116.81,1
25,33.73,1660.99,138940.12,12761.84,62,280.59,2.25,116.59,1
26,32.6,1659.07,137281.05,12729.23,59,280.37,2.25,116.37,1
27,31.38,1657.21,135623.85,12697.85,56,280.14,2.25,116.14,1
28,30.07,1655.41,133968.44,12667.78,53,279.92,2.25,115.92,1
29,28.66,1653.69,132314.75,12639.12,50,279.7,2.25,115.7,1
30,27.17,1652.04,130662.71,12611.96,47,279.48,2.25,115.48,1
31,25.59,1650.47,129012.23,12586.37,44,279.26,2.26,115.26,1
32,23.93,1648.99,127363.24,12562.44,41,279.03,2.26,115.03,1
33,22.19,1647.6,125715.64,12540.25,38,278.82,2.16,114.82,0.96
34,20.47,1646.36,124069.27,12519.78,35,278.63,2.01,114.63,0.89
35,18.81,1645.3,122423.97,12500.97,32,278.44,1.85,114.44,0.82
